scope,workload,mode,metric,count,mean,median,min,max,stddev,status
SINGLE_APPLICATION,random,BASELINE,discovery_scan_count,5,0.000,0.000,0.000,0.000,0.000,MEASURED
SINGLE_APPLICATION,random,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,INTEGRATED,benchmark_elapsed_ms,5,279.480,267.361,240.900,318.066,34.021,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,benchmark_throughput_ops_sec,5,7240719.207,7480525.107,6288011.561,8302205.493,870327.243,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,runtime_cpu_percent,5,24.913,24.673,23.667,25.882,0.917,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,runtime_cpu_peak_percent,5,664.361,754.115,438.146,835.429,188.619,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,runtime_rss_kb,5,5975.200,5904.000,5832.000,6208.000,164.156,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,runtime_vms_kb,5,156796.000,156796.000,156796.000,156796.000,0.000,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,discovery_scan_count,5,4.000,4.000,4.000,4.000,0.000,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,discovery_total_us,5,211773.869,203855.894,201746.928,225376.910,11925.473,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,discovery_us,5,52943.468,50963.974,50436.732,56344.228,2981.368,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,queue_wait_us,5,462.653,392.350,140.444,883.632,311.043,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,worker_execution_us,5,2853.544,2486.876,1987.448,4172.497,885.166,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,phase3_us,5,2848.359,2481.606,1983.239,4167.357,884.953,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,INTEGRATED,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,INTEGRATED,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,INTEGRATED,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,INTEGRATED,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,random,INTEGRATED,runtime_cycle_total_us,5,1007340.857,1010390.616,1000265.884,1012488.877,6083.460,MEASURED
SINGLE_APPLICATION,random,INTEGRATED,completion_latency_us,5,3790.502,4233.464,2206.805,5672.142,1406.305,MEASURED
SINGLE_APPLICATION,hot,BASELINE,benchmark_elapsed_ms,5,203.663,197.042,180.173,231.415,20.255,MEASURED
SINGLE_APPLICATION,hot,BASELINE,benchmark_throughput_ops_sec,5,9896786.609,10150103.124,8642488.507,11100460.097,965647.914,MEASURED
SINGLE_APPLICATION,hot,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,runtime_cpu_peak_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,discovery_scan_count,5,0.000,0.000,0.000,0.000,0.000,MEASURED
SINGLE_APPLICATION,hot,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,INTEGRATED,benchmark_elapsed_ms,5,189.735,187.337,168.731,218.797,18.830,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,benchmark_throughput_ops_sec,5,10621053.725,10675950.018,9140884.216,11853199.077,1011818.280,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,runtime_cpu_percent,5,23.817,23.790,22.385,24.589,0.901,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,runtime_cpu_peak_percent,5,503.927,418.518,414.852,847.291,191.966,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,runtime_rss_kb,5,6080.800,6100.000,5856.000,6320.000,176.191,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,runtime_vms_kb,5,156796.000,156796.000,156796.000,156796.000,0.000,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,discovery_scan_count,5,4.000,4.000,4.000,4.000,0.000,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,discovery_total_us,5,199346.447,198613.333,187992.250,207601.422,7636.982,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,discovery_us,5,49836.612,49653.333,46998.062,51900.355,1909.246,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,queue_wait_us,5,237.114,279.298,109.995,316.473,92.466,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,worker_execution_us,5,2071.682,1839.361,1128.082,3705.206,998.708,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,phase3_us,5,2066.832,1834.133,1123.676,3700.106,998.678,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,INTEGRATED,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
