scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
APPLICATION,4,2,INTEGRATED,mean_queue_wait_us,20,3536.512,3076.977,673.798,7282.799,2290.094,MEASURED
APPLICATION,4,2,INTEGRATED,mean_completion_latency_us,20,8054.425,7771.639,4168.260,11890.797,2455.042,MEASURED
APPLICATION,4,2,INTEGRATED,mean_pipeline_serial_wait_us,20,52260.223,52652.457,233.747,120098.820,39640.707,MEASURED
APPLICATION,4,2,INTEGRATED,mean_phase3_us,20,4412.559,4377.081,3258.548,5392.139,598.985,MEASURED
APPLICATION,4,2,INTEGRATED,mean_phase4_us,20,9604.513,9664.592,6764.759,14213.081,1943.368,MEASURED
APPLICATION,4,2,INTEGRATED,mean_phase5_us,20,12140.307,11554.025,7399.864,18813.760,2742.621,MEASURED
APPLICATION,4,2,INTEGRATED,mean_phase6_us,20,10615.313,10409.184,8271.215,15897.649,1811.239,MEASURED
APPLICATION,8,2,BASELINE,benchmark_elapsed_ms,40,9482.106,9650.033,6157.589,12089.850,1084.870,MEASURED
APPLICATION,8,2,BASELINE,benchmark_throughput,40,1908554.664,1848826.058,1475719.815,2897437.551,247601.484,MEASURED
APPLICATION,8,2,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,INTEGRATED,benchmark_elapsed_ms,40,9910.251,10047.138,8250.533,11328.361,857.546,MEASURED
APPLICATION,8,2,INTEGRATED,benchmark_throughput,40,1813897.544,1776178.655,1574917.209,2162433.821,161908.339,MEASURED
APPLICATION,8,2,INTEGRATED,mean_queue_wait_us,40,11587.607,11354.448,1321.343,23622.539,7103.970,MEASURED
APPLICATION,8,2,INTEGRATED,mean_completion_latency_us,40,18432.961,19152.656,4766.881,29402.490,7360.387,MEASURED
APPLICATION,8,2,INTEGRATED,mean_pipeline_serial_wait_us,40,193588.948,194144.209,222.681,409403.953,125407.569,MEASURED
APPLICATION,8,2,INTEGRATED,mean_phase3_us,40,6740.313,6756.542,3301.406,10098.307,1695.958,MEASURED
APPLICATION,8,2,INTEGRATED,mean_phase4_us,40,16417.578,16558.138,11082.088,24873.376,2940.188,MEASURED
APPLICATION,8,2,INTEGRATED,mean_phase5_us,40,19086.273,18908.354,12818.590,26858.110,3346.855,MEASURED
APPLICATION,8,2,INTEGRATED,mean_phase6_us,40,16624.410,16794.867,11717.670,27351.354,3169.092,MEASURED
RUN,1,2,BASELINE,aggregate_throughput,5,4299031.715,4311727.904,4059887.355,4426120.757,142788.353,MEASURED
RUN,1,2,BASELINE,group_makespan_ms,5,4153.844,4137.838,4030.896,4394.514,142.514,MEASURED
RUN,1,2,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,2,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,2,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,2,BASELINE,max_queue_depth,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,2,BASELINE,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,2,BASELINE,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,2,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,2,INTEGRATED,aggregate_throughput,5,4070252.114,4168687.279,3636097.458,4240428.901,252966.057,MEASURED
RUN,1,2,INTEGRATED,group_makespan_ms,5,4397.925,4279.820,4207.412,4906.698,293.821,MEASURED
RUN,1,2,INTEGRATED,runtime_cpu_percent,5,26.017,26.308,23.900,28.068,1.565,MEASURED
RUN,1,2,INTEGRATED,runtime_rss_kb,5,6048.000,6084.000,5884.000,6220.000,128.872,MEASURED
RUN,1,2,INTEGRATED,runtime_vms_kb,5,156804.000,156804.000,156804.000,156804.000,0.000,MEASURED
RUN,1,2,INTEGRATED,max_queue_depth,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,2,INTEGRATED,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,2,INTEGRATED,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,2,INTEGRATED,discovery_total_us,5,1190245.211,1138940.698,1059021.379,1498418.478,175452.034,MEASURED
RUN,2,2,BASELINE,aggregate_throughput,5,7615075.278,7581066.968,6743411.616,8828607.221,822927.848,MEASURED
RUN,2,2,BASELINE,group_makespan_ms,5,4728.340,4706.786,4041.686,5291.455,494.146,MEASURED
RUN,2,2,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,2,2,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,2,2,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,2,2,BASELINE,max_queue_depth,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,2,2,BASELINE,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,2,2,BASELINE,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,2,2,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,2,2,INTEGRATED,aggregate_throughput,5,7392744.445,7084095.130,6687280.968,8253126.720,645816.021,MEASURED
RUN,2,2,INTEGRATED,group_makespan_ms,5,4855.631,5036.982,4323.508,5335.870,414.744,MEASURED
RUN,2,2,INTEGRATED,runtime_cpu_percent,5,29.148,29.979,26.335,31.129,2.049,MEASURED
RUN,2,2,INTEGRATED,runtime_rss_kb,5,6063.200,6112.000,5896.000,6196.000,128.947,MEASURED
RUN,2,2,INTEGRATED,runtime_vms_kb,5,156779.200,156784.000,156772.000,156784.000,6.573,MEASURED
RUN,2,2,INTEGRATED,max_queue_depth,5,1.000,1.000,1.000,1.000,0.000,MEASURED
RUN,2,2,INTEGRATED,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,2,2,INTEGRATED,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,2,2,INTEGRATED,discovery_total_us,5,1265526.142,1341244.813,1137021.407,1357445.540,113871.336,MEASURED
RUN,4,2,BASELINE,aggregate_throughput,5,11580950.311,11664582.741,10454986.216,12507675.550,930050.770,MEASURED
RUN,4,2,BASELINE,group_makespan_ms,5,6194.611,6118.086,5705.690,6825.922,503.860,MEASURED
RUN,4,2,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,4,2,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,4,2,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,4,2,BASELINE,max_queue_depth,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,4,2,BASELINE,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
