run_id,run_type,mode,application_count,worker_count,iterations,group_makespan_ms,aggregate_throughput,runtime_cpu_percent,runtime_cpu_peak_percent,runtime_rss_kb,runtime_vms_kb,runtime_tree_cpu_percent,runtime_tree_rss_kb,runtime_tree_vms_kb,max_queue_depth,deferred_jobs,saturation_events,discovery_scan_count,discovery_total_us,status,notes
primary-a2-w2-measured-7-baseline,MEASURED,BASELINE,2,2,17841231,1323.050,26969854.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-measured-7-integrated,MEASURED,INTEGRATED,2,2,17841231,1337.722,26674041.670,11.202,190.027,6544.000,156904.000,11.202,6544.000,156904.000,1.000,0,0,8,186542.017,MEASURED,Error: target PID 388585 is unavailable for one sample.
primary-a2-w2-measured-8-integrated,MEASURED,INTEGRATED,2,2,17841231,1467.625,24313058.326,13.715,187.756,6468.000,156936.000,13.715,6468.000,157724.000,1.000,0,0,8,221642.236,MEASURED,"Error: target PID 388598 is unavailable for one sample.
Error: target PID 388599 is unavailable for one sample."
primary-a2-w2-measured-8-baseline,MEASURED,BASELINE,2,2,17841231,1391.800,25637635.491,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-warmup-1-baseline,WARMUP,BASELINE,4,2,17841231,1543.052,46249213.080,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-warmup-1-integrated,WARMUP,INTEGRATED,4,2,17841231,8219.861,8682010.949,5.487,186.970,7492.000,157996.000,5.487,11472.000,313856.000,3.000,0,0,13,506086.855,MEASURED,"Error: target PID 388626 is unavailable for one sample.
Error: target PID 388624 is unavailable for one sample.
Error: target PID 388623 is unavailable for one sample.
Error: target PID 388625 is unavailable for one sample."
primary-a4-w2-warmup-2-integrated,WARMUP,INTEGRATED,4,2,17841231,2471.225,28878365.314,15.549,260.674,6812.000,157164.000,15.549,12352.000,314328.000,3.000,0,0,12,381971.317,MEASURED,"Error: target PID 388848 is unavailable for one sample.
Error: target PID 388850 is unavailable for one sample.
Error: target PID 388851 is unavailable for one sample."
primary-a4-w2-warmup-2-baseline,WARMUP,BASELINE,4,2,17841231,2315.929,30814819.180,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-warmup-3-baseline,WARMUP,BASELINE,4,2,17841231,1812.098,39382491.304,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-warmup-3-integrated,WARMUP,INTEGRATED,4,2,17841231,1856.659,38437285.672,16.724,186.301,6500.000,157012.000,16.724,7836.000,159996.000,3.000,0,0,8,239509.901,MEASURED,"Error: target PID 389031 is unavailable for one sample.
Error: target PID 389030 is unavailable for one sample."
primary-a4-w2-measured-4-integrated,MEASURED,INTEGRATED,4,2,17841231,1868.793,38187703.488,16.630,186.207,6596.000,157008.000,16.630,9940.000,312040.000,3.000,0,0,8,231975.896,MEASURED,"Error: target PID 389058 is unavailable for one sample.
Error: target PID 389057 is unavailable for one sample."
primary-a4-w2-measured-4-baseline,MEASURED,BASELINE,4,2,17841231,1683.577,42388868.463,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-measured-5-baseline,MEASURED,BASELINE,4,2,17841231,1611.576,44282700.273,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-measured-5-integrated,MEASURED,INTEGRATED,4,2,17841231,1745.868,40876476.724,15.653,186.412,6480.000,157008.000,15.653,7892.000,159992.000,3.000,0,0,8,236697.079,MEASURED,"Error: target PID 389097 is unavailable for one sample.
Error: target PID 389096 is unavailable for one sample.
Error: target PID 389098 is unavailable for one sample.
Error: target PID 389099 is unavailable for one sample."
primary-a4-w2-measured-6-integrated,MEASURED,INTEGRATED,4,2,17841231,1780.641,40078212.379,17.485,186.937,6676.000,157008.000,17.485,9892.000,312040.000,3.000,0,0,8,266189.798,MEASURED,"Error: target PID 389120 is unavailable for one sample.
Error: target PID 389121 is unavailable for one sample.
Error: target PID 389122 is unavailable for one sample."
primary-a4-w2-measured-6-baseline,MEASURED,BASELINE,4,2,17841231,1876.046,38040072.161,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-measured-7-baseline,MEASURED,BASELINE,4,2,17841231,1821.328,39182909.240,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-measured-7-integrated,MEASURED,INTEGRATED,4,2,17841231,1760.649,40533301.380,15.543,187.922,6568.000,157000.000,15.543,7336.000,159856.000,3.000,0,0,8,232578.754,MEASURED,"Error: target PID 389162 is unavailable for one sample.
Error: target PID 389163 is unavailable for one sample.
Error: target PID 389164 is unavailable for one sample.
Error: target PID 389165 is unavailable for one sample."
primary-a4-w2-measured-8-integrated,MEASURED,INTEGRATED,4,2,17841231,1785.802,39962401.626,18.546,186.471,6656.000,157000.000,18.546,8112.000,159976.000,2.000,0,0,8,277859.709,MEASURED,"Error: target PID 389188 is unavailable for one sample.
Error: target PID 389186 is unavailable for one sample.
Error: target PID 389185 is unavailable for one sample.
Error: target PID 389187 is unavailable for one sample."
primary-a4-w2-measured-8-baseline,MEASURED,BASELINE,4,2,17841231,1595.847,44719145.427,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a8-w2-warmup-1-baseline,WARMUP,BASELINE,8,2,17841231,3841.227,37157358.148,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a8-w2-warmup-1-integrated,WARMUP,INTEGRATED,8,2,17841231,3130.703,45590357.769,17.430,167.856,6560.000,157008.000,17.430,11820.000,314016.000,7.000,0,0,12,560740.794,MEASURED,"Error: target PID 389278 is unavailable for one sample.
Error: target PID 389275 is unavailable for one sample.
Error: target PID 389281 is unavailable for one sample."
primary-a8-w2-warmup-2-integrated,WARMUP,INTEGRATED,8,2,17841231,3311.362,43103059.119,16.375,183.198,6560.000,157020.000,16.375,11836.000,314040.000,7.000,0,0,12,811993.336,MEASURED,"Error: target PID 389381 is unavailable for one sample.
Error: target PID 389377 is unavailable for one sample.
Error: target PID 389380 is unavailable for one sample.
Error: target PID 389384 is unavailable for one sample."
primary-a8-w2-warmup-2-baseline,WARMUP,BASELINE,8,2,17841231,3265.254,43711712.520,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a8-w2-warmup-3-baseline,WARMUP,BASELINE,8,2,17841231,3601.511,39630541.491,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a8-w2-warmup-3-integrated,WARMUP,INTEGRATED,8,2,17841231,3332.845,42825222.218,16.610,165.785,6916.000,156988.000,16.610,12192.000,313976.000,7.000,0,0,12,622632.577,MEASURED,"Error: target PID 389553 is unavailable for one sample.
Error: target PID 389556 is unavailable for one sample.
Error: target PID 389555 is unavailable for one sample.
Error: target PID 389550 is unavailable for one sample.
Error: target PID 389552 is unavailable for one sample.
Error: target PID 389551 is unavailable for one sample."
primary-a8-w2-measured-4-integrated,MEASURED,INTEGRATED,8,2,17841231,3365.941,42404148.987,17.191,181.216,6652.000,156984.000,17.191,11928.000,313968.000,7.000,0,0,12,611057.396,MEASURED,"Error: target PID 389624 is unavailable for one sample.
Error: target PID 389625 is unavailable for one sample.
Error: target PID 389626 is unavailable for one sample.
Error: target PID 389628 is unavailable for one sample.
Error: target PID 389627 is unavailable for one sample."
primary-a8-w2-measured-4-baseline,MEASURED,BASELINE,8,2,17841231,3108.604,45914451.765,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a8-w2-measured-5-baseline,MEASURED,BASELINE,8,2,17841231,3051.700,46770608.577,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a8-w2-measured-5-integrated,MEASURED,INTEGRATED,8,2,17841231,3299.996,43251517.362,17.429,180.166,6828.000,156988.000,17.429,12108.000,313976.000,7.000,0,0,12,724633.542,MEASURED,"Error: target PID 389770 is unavailable for one sample.
Error: target PID 389765 is unavailable for one sample.
Error: target PID 389766 is unavailable for one sample.
Error: target PID 389769 is unavailable for one sample.
Error: target PID 389767 is unavailable for one sample."
primary-a8-w2-measured-6-integrated,MEASURED,INTEGRATED,8,2,17841231,3041.141,46932998.310,17.131,166.106,6684.000,156956.000,17.131,11904.000,313912.000,7.000,0,0,12,623697.711,MEASURED,"Error: target PID 389835 is unavailable for one sample.
Error: target PID 389842 is unavailable for one sample.
Error: target PID 389836 is unavailable for one sample.
Error: target PID 389840 is unavailable for one sample.
Error: target PID 389841 is unavailable for one sample.
Error: target PID 389837 is unavailable for one sample.
Error: target PID 389838 is unavailable for one sample."
primary-a8-w2-measured-6-baseline,MEASURED,BASELINE,8,2,17841231,2964.602,48144690.773,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a8-w2-measured-7-baseline,MEASURED,BASELINE,8,2,17841231,2925.157,48793917.313,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a8-w2-measured-7-integrated,MEASURED,INTEGRATED,8,2,17841231,3300.126,43249823.265,17.066,187.625,6624.000,156948.000,17.066,11800.000,313896.000,7.000,0,0,12,673828.239,MEASURED,"Error: target PID 389946 is unavailable for one sample.
Error: target PID 389939 is unavailable for one sample.
Error: target PID 389942 is unavailable for one sample."
primary-a8-w2-measured-8-integrated,MEASURED,INTEGRATED,8,2,17841231,3156.283,45220869.159,16.586,181.238,6632.000,156948.000,16.586,9960.000,312016.000,7.000,0,0,12,691054.875,MEASURED,"Error: target PID 390016 is unavailable for one sample.
Error: target PID 390018 is unavailable for one sample.
Error: target PID 390023 is unavailable for one sample."
primary-a8-w2-measured-8-baseline,MEASURED,BASELINE,8,2,17841231,2999.784,47580036.672,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
