timestamp,elapsed_ms,pid,tid,cpu,cpu_node,cpu_utilization_percent,state
2026-08-20T19:34:24,1,276228,276228,1,-1,-1.000,R
2026-08-20T19:34:24,53,276228,276228,1,-1,0.000,S
2026-08-20T19:34:24,53,276228,276229,7,-1,-1.000,R
2026-08-20T19:34:24,53,276228,276230,2,-1,-1.000,R
2026-08-20T19:34:24,104,276228,276228,1,-1,0.000,S
2026-08-20T19:34:24,104,276228,276229,7,-1,100.000,R
2026-08-20T19:34:24,104,276228,276230,2,-1,80.000,R
2026-08-20T19:34:24,155,276228,276228,1,-1,0.000,S
2026-08-20T19:34:24,155,276228,276229,7,-1,102.564,R
2026-08-20T19:34:24,155,276228,276230,2,-1,102.564,R
2026-08-20T19:34:24,207,276228,276228,1,-1,0.000,S
2026-08-20T19:34:24,207,276228,276229,7,-1,97.561,R
2026-08-20T19:34:24,207,276228,276230,1,-1,117.073,R
