run_id,variant,run_type,run_index,application_count,worker_count,app_id,pid,start_time_ticks,generation,phase,serial_wait_us,artifact_prepare_us,phase3_artifact_scan_us,parent_prepare_us,fork_wait_wall_us,child_profiled_total_us,startup_uninstrumented_residual_us,direct_api_us,file_io_us,result_parse_us,total_phase_us,pipeline_total_us,pipeline_service_rate_apps_sec,aggregate_throughput,benchmark_elapsed_ms,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,completion_latency_us,status,notes
phase46-a1-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,1,2,APP_253832_47201374,253832,47201374,3,phase5,258.411,151.818,101.910,59.686,6485.383,1543.184,4942.199,,NA,NA,6598.303,50004.637,59.994,4868404.785,3642.102,22.550,5624.000,155628.000,NA,OK,
phase46-a1-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,1,2,APP_253832_47201374,253832,47201374,3,phase6,258.411,151.818,101.910,39.493,4657.209,605.162,4052.047,,192.160,65.457,4740.409,50004.637,59.994,4868404.785,3642.102,22.550,5624.000,155628.000,NA,OK,
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,1,phase4,227.561,140.528,60.160,37.208,4365.832,220.672,4145.160,,298.701,NA,4463.901,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,1,phase5,227.561,140.528,60.160,37.948,5534.074,1709.074,3825.000,,NA,NA,5624.051,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,1,phase6,227.561,140.528,60.160,40.727,4457.190,599.220,3857.970,,185.002,72.020,4545.968,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,2,phase4,194.197,111.370,67.145,40.537,4515.867,299.350,4216.517,,364.807,NA,4601.237,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,2,phase5,194.197,111.370,67.145,39.179,4674.988,1120.465,3554.523,,NA,NA,4761.593,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,2,phase6,194.197,111.370,67.145,40.880,4102.895,511.782,3591.113,,179.835,69.422,4188.513,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,3,phase4,228.666,113.015,104.459,37.224,4285.226,332.267,3952.959,,453.965,NA,4365.498,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,3,phase5,228.666,113.015,104.459,42.724,4783.582,1168.869,3614.713,,NA,NA,4876.077,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,APP_253846_47201796,253846,47201796,3,phase6,228.666,113.015,104.459,43.769,4485.646,633.017,3852.629,,229.522,92.287,4599.721,46146.154,65.011,4672891.145,3781.178,23.972,5632.000,155628.000,NA,OK,Error: target PID 253846 is unavailable for one sample.
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,1,phase4,219.737,143.955,65.047,43.098,4306.887,258.512,4048.375,,313.680,NA,4404.046,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,1,phase5,219.737,143.955,65.047,39.383,5241.286,1336.026,3905.260,,NA,NA,5377.490,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,1,phase6,219.737,143.955,65.047,60.504,6975.234,1009.846,5965.388,,256.702,83.338,7101.442,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,2,phase4,204.480,132.641,75.902,67.057,6194.645,384.343,5810.302,,518.097,NA,6321.362,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,2,phase5,204.480,132.641,75.902,57.114,6481.043,1499.890,4981.153,,NA,NA,6591.555,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,2,phase6,204.480,132.641,75.902,49.365,6406.798,835.618,5571.180,,190.914,86.601,6510.485,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,3,phase4,220.437,144.419,78.291,115.718,4260.470,297.167,3963.303,,612.441,NA,4422.092,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,3,phase5,220.437,144.419,78.291,40.312,4253.536,1047.799,3205.737,,NA,NA,4346.054,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,APP_253860_47202212,253860,47202212,3,phase6,220.437,144.419,78.291,50.207,6527.640,753.968,5773.672,,196.405,76.738,6635.503,56334.730,53.253,4815235.948,3681.418,23.958,5464.000,155620.000,NA,OK,
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,1,phase4,229.546,166.468,74.743,79.630,5918.267,337.768,5580.499,,373.921,NA,6114.401,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,1,phase5,229.546,166.468,74.743,39.215,5503.098,1292.722,4210.376,,NA,NA,5587.754,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,1,phase6,229.546,166.468,74.743,47.383,4491.855,678.065,3813.790,,223.914,60.649,4583.462,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,2,phase4,245.352,147.112,100.668,65.877,6801.523,438.330,6363.193,,493.797,NA,6915.628,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,2,phase5,245.352,147.112,100.668,38.201,7533.091,1892.418,5640.673,,NA,NA,7635.592,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,2,phase6,245.352,147.112,100.668,56.740,6237.630,669.463,5568.167,,248.546,95.462,6352.083,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,3,phase4,209.977,137.874,74.882,60.548,7461.180,631.757,6829.423,,642.347,NA,7584.530,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
