timestamp,elapsed_ms,pid,tid,cpu,cpu_node,cpu_utilization_percent,state
2026-08-20T19:34:25,1,276237,276237,6,-1,-1.000,R
2026-08-20T19:34:25,53,276237,276237,6,-1,0.000,S
2026-08-20T19:34:25,53,276237,276238,5,-1,-1.000,R
2026-08-20T19:34:25,53,276237,276239,7,-1,-1.000,R
2026-08-20T19:34:25,107,276237,276237,6,-1,0.000,S
2026-08-20T19:34:25,107,276237,276238,5,-1,126.316,R
2026-08-20T19:34:25,107,276237,276239,7,-1,105.263,R
2026-08-20T19:34:25,164,276237,276237,6,-1,0.000,S
2026-08-20T19:34:25,164,276237,276238,5,-1,97.561,R
2026-08-20T19:34:25,164,276237,276239,7,-1,97.561,R
