timestamp,elapsed_ms,pid,tid,cpu,cpu_node,cpu_utilization_percent,state
2026-08-20T19:34:24,1,276210,276210,7,-1,-1.000,R
2026-08-20T19:34:24,53,276210,276210,7,-1,0.000,S
2026-08-20T19:34:24,53,276210,276211,2,-1,-1.000,R
2026-08-20T19:34:24,53,276210,276212,5,-1,-1.000,R
2026-08-20T19:34:24,105,276210,276210,7,-1,0.000,S
2026-08-20T19:34:24,105,276210,276211,6,-1,102.564,R
2026-08-20T19:34:24,105,276210,276212,5,-1,102.564,R
2026-08-20T19:34:24,157,276210,276210,7,-1,0.000,S
2026-08-20T19:34:24,157,276210,276211,6,-1,100.000,R
2026-08-20T19:34:24,157,276210,276212,5,-1,100.000,R
2026-08-20T19:34:24,211,276210,276210,7,-1,0.000,R
