interval_ms,mode,metric,count,mean,median,min,max,stddev,status
500,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
500,INTEGRATED,benchmark_elapsed_ms,5,1200.187,1200.188,1200.125,1200.245,0.044,MEASURED
500,INTEGRATED,benchmark_throughput_ops_sec,5,18171982.183,18450706.230,16617773.732,18885709.953,889396.274,MEASURED
500,INTEGRATED,runtime_cpu_percent,5,15.083,14.710,13.771,17.783,1.652,MEASURED
500,INTEGRATED,runtime_rss_kb,5,4708.800,4700.000,4568.000,4812.000,94.208,MEASURED
500,INTEGRATED,discovery_scans,5,3.000,3.000,3.000,3.000,0.000,MEASURED
500,INTEGRATED,discovery_total_us,5,131183.703,129772.426,114385.602,157947.917,18350.727,MEASURED
500,INTEGRATED,discovery_mean_us,5,43727.901,43257.475,38128.534,52649.306,6116.909,MEASURED
500,INTEGRATED,runtime_cycle_total_us,5,1230811.794,1233114.700,1220903.253,1234817.721,5626.467,MEASURED
1000,BASELINE,benchmark_elapsed_ms,5,1200.207,1200.206,1200.123,1200.266,0.058,MEASURED
1000,BASELINE,benchmark_throughput_ops_sec,5,18448442.908,18544339.258,18212536.418,18633603.762,204067.359,MEASURED
1000,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
1000,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
1000,BASELINE,discovery_scans,0,NA,NA,NA,NA,NA,UNAVAILABLE
1000,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
1000,BASELINE,discovery_mean_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
1000,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
1000,INTEGRATED,benchmark_elapsed_ms,5,1200.165,1200.145,1200.129,1200.210,0.038,MEASURED
1000,INTEGRATED,benchmark_throughput_ops_sec,5,18035105.341,18137188.228,17530484.316,18427921.258,359507.605,MEASURED
1000,INTEGRATED,runtime_cpu_percent,5,12.387,12.299,11.353,13.779,1.076,MEASURED
1000,INTEGRATED,runtime_rss_kb,5,4781.600,4832.000,4704.000,4832.000,69.028,MEASURED
1000,INTEGRATED,discovery_scans,5,2.000,2.000,2.000,2.000,0.000,MEASURED
1000,INTEGRATED,discovery_total_us,5,93504.841,94872.551,84274.269,105173.760,8806.906,MEASURED
1000,INTEGRATED,discovery_mean_us,5,46752.421,47436.276,42137.135,52586.880,4403.453,MEASURED
1000,INTEGRATED,runtime_cycle_total_us,5,1225747.504,1230858.132,1216030.792,1234438.414,8815.330,MEASURED
