graph_id,graph_name,source_file,data_type,records_available,records_used,records_skipped,status,reason,output_file,generation_time
G08-3,Individual Factor Weights over Feedback Cycles,results/feedback_results.csv,CONTROLLED_TEST,12,12,0,GENERATED,,graphs/phase8/factor_weights_over_time.svg,0.002361817
G08-4,All 12 Phase 5 Factor Weights,results/feedback_results.csv,CONTROLLED_TEST,12,12,0,GENERATED,,graphs/phase8/all_12_factor_weights.svg,0.005163543
G08-5,Factor Weight Changes Old to New,results/feedback_results.csv,CONTROLLED_TEST,12,12,0,GENERATED,,graphs/phase8/weight_changes_old_to_new.svg,0.002257213
G08-11,Application-Specific Memory Bias Adaptation,tests/graph_inputs/feedback_adaptation.csv,CONTROLLED_TEST,12,12,0,GENERATED,,graphs/phase8/application_adaptation.svg,0.001951339
G08-C1,Memory Bias over Feedback Cycles,tests/graph_inputs/feedback_adaptation.csv,CONTROLLED_TEST,12,12,0,GENERATED,,graphs/phase8/controlled_memory_bias_over_time.svg,0.002161494
G08-C2,Thread Bias over Feedback Cycles,tests/graph_inputs/feedback_adaptation.csv,CONTROLLED_TEST,12,12,0,GENERATED,,graphs/phase8/controlled_thread_bias_over_time.svg,0.002463973
G08-C3,All 12 Factor Weights over Feedback Cycles,tests/graph_inputs/feedback_adaptation.csv,CONTROLLED_TEST,144,144,0,GENERATED,,graphs/phase8/controlled_all_12_factor_weights.svg,0.012963990
G-C04,AWAVMA Pipeline Record Counts,results/phase2-8 CSV files,REAL,14,14,0,GENERATED,,graphs/combined/pipeline_counts.svg,0.002773309
G-C05,Real Pipeline — Current Instrumentation,results/phase2-8 CSV files,REAL,14,14,0,GENERATED,,graphs/combined/real_pipeline_status.svg,0.002764241
G-C01,Workload to Classification to Decision to Migration,results/*.csv,REAL,0,0,0,SKIPPED,CROSS_PHASE_JOIN_UNAVAILABLE: no legitimate cross-phase migration identifier is available,,0.000000000
G-C02,Application Decision to Migration to Feedback,results/*.csv,REAL,0,0,0,SKIPPED,CROSS_PHASE_JOIN_UNAVAILABLE: feedback records are controlled and migration results are absent,,0.000000000
G-C03,Feedback Cycle to Bias Adaptation,tests/graph_inputs/feedback_adaptation.csv,CONTROLLED_TEST,12,12,0,GENERATED,,graphs/combined/feedback_weight_bias_adaptation.svg,0.002382432
G-C06,Application-Specific State Status,state/application_state.csv,REAL,1,1,0,GENERATED,,graphs/combined/application_state_status.svg,0.002225787
