mode,application_count,worker_count,aggregate_throughput,mean_application_elapsed_ms,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,mean_queue_wait_us,max_queue_wait_us,max_queue_depth,deferred_jobs,saturation_events,mean_serial_wait_us,max_serial_wait_us,mean_completion_latency_us,fairness_index,status
BASELINE,1,2,14347673.834,1297.971,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,1,2,14623425.363,1204.738,12.349,6504.000,156988.000,77.632,442.345,0.000,0.000,0.000,92.814,107.830,809.411,1.000,MEASURED
BASELINE,2,2,25636069.938,1369.981,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,2,2,24859439.138,1423.013,13.143,6495.200,156932.000,78.592,1405.963,1.000,0.000,0.000,3394.895,8539.169,1008.140,1.000,MEASURED
BASELINE,4,2,41722739.113,1651.509,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,4,2,39927619.119,1716.292,16.771,6595.200,157004.800,775.221,4625.766,3.000,0.000,0.000,12327.980,26642.035,1799.620,1.000,MEASURED
BASELINE,8,2,47440741.020,2754.866,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,8,2,44211871.417,2945.175,17.081,6684.000,156964.800,3909.145,41779.572,7.000,0.000,0.000,78819.433,181169.136,6236.798,0.995,MEASURED
