application_count,baseline_variant,candidate_variant,baseline_pipeline_wall_us,candidate_pipeline_wall_us,baseline_aggregate_throughput,candidate_aggregate_throughput,status,notes
1,SUBPROCESS_SERIAL_BASELINE,NA,NA,NA,NA,NA,NO_CANDIDATE,Baseline-only investigation; no Phase 5/6 candidate introduced.
2,SUBPROCESS_SERIAL_BASELINE,NA,NA,NA,NA,NA,NO_CANDIDATE,Baseline-only investigation; no Phase 5/6 candidate introduced.
4,SUBPROCESS_SERIAL_BASELINE,NA,NA,NA,NA,NA,NO_CANDIDATE,Baseline-only investigation; no Phase 5/6 candidate introduced.
8,SUBPROCESS_SERIAL_BASELINE,NA,NA,NA,NA,NA,NO_CANDIDATE,Baseline-only investigation; no Phase 5/6 candidate introduced.
