timestamp,interval_ms,mode,run_type,run_index,benchmark_elapsed_ms,benchmark_throughput_ops_sec,runtime_cpu_percent,runtime_rss_kb,discovery_scans,discovery_total_us,discovery_mean_us,runtime_cycle_total_us,status,notes
2026-08-20T15:14:57Z,100,BASELINE,MEASURED,4,1201.019,15140640.381,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:14:58Z,100,INTEGRATED,MEASURED,4,1200.133,13539193.089,45.738,4704.000,11.000,540077.600,49097.964,1238678.551,MEASURED,
2026-08-20T15:14:59Z,100,BASELINE,MEASURED,5,1200.212,15848714.923,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:01Z,100,INTEGRATED,MEASURED,5,1200.602,14900252.314,55.416,4632.000,11.000,658316.147,59846.922,1263691.424,MEASURED,
2026-08-20T15:15:03Z,250,BASELINE,WARMUP,1,1200.199,15747360.964,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:04Z,250,INTEGRATED,WARMUP,1,1200.139,15185012.391,28.639,4692.000,5.000,308664.528,61732.906,1222951.998,MEASURED,
2026-08-20T15:15:05Z,250,BASELINE,WARMUP,2,1200.332,16296714.514,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:06Z,250,INTEGRATED,WARMUP,2,1200.141,15018614.215,28.583,4832.000,5.000,303421.829,60684.366,1222413.120,MEASURED,
2026-08-20T15:15:08Z,250,BASELINE,WARMUP,3,1200.228,15723090.661,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:09Z,250,INTEGRATED,WARMUP,3,1200.141,14772881.841,28.652,4596.000,5.000,296855.829,59371.166,1220789.558,MEASURED,
2026-08-20T15:15:10Z,250,BASELINE,WARMUP,4,1200.136,15752454.879,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:11Z,250,INTEGRATED,WARMUP,4,1200.400,12516787.185,28.979,4832.000,5.000,329193.661,65838.732,1239221.920,MEASURED,
2026-08-20T15:15:13Z,250,BASELINE,WARMUP,5,1200.188,13592320.823,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:14Z,250,INTEGRATED,WARMUP,5,1201.343,15004431.769,26.009,4832.000,5.000,263873.958,52774.792,1229385.280,MEASURED,
2026-08-20T15:15:15Z,250,BASELINE,MEASURED,1,1200.667,15663616.824,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:16Z,250,INTEGRATED,MEASURED,1,1200.146,15554378.495,27.563,4820.000,5.000,300827.487,60165.497,1233593.701,MEASURED,
2026-08-20T15:15:18Z,250,BASELINE,MEASURED,2,1200.136,15327543.939,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:19Z,250,INTEGRATED,MEASURED,2,1200.207,14660293.783,27.865,4692.000,5.000,316277.726,63255.545,1220136.898,MEASURED,
2026-08-20T15:15:20Z,250,BASELINE,MEASURED,3,1201.140,15420441.472,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:21Z,250,INTEGRATED,MEASURED,3,1200.167,15234147.736,26.026,4832.000,5.000,290093.658,58018.732,1229611.230,MEASURED,
