variant,application_count,phase,metric,count,mean,median,min,max,stddev,status
PHASE4_IN_PROCESS,2,phase4,startup_uninstrumented_residual_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,2,phase4,direct_api_us,41,494.229,433.834,218.918,1778.590,263.498,MEASURED
PHASE4_IN_PROCESS,2,phase4,file_io_us,41,539.099,475.207,207.213,3209.179,462.310,MEASURED
PHASE4_IN_PROCESS,2,phase4,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,2,phase4,total_phase_us,41,502.965,440.465,224.713,1792.105,265.028,MEASURED
PHASE4_IN_PROCESS,2,phase4,pipeline_total_us,41,134367.178,133125.169,126730.786,147541.688,7081.466,MEASURED
PHASE4_IN_PROCESS,2,phase4,pipeline_service_rate_apps_sec,41,61.328,61.440,54.222,67.042,4.289,MEASURED
PHASE4_IN_PROCESS,2,phase4,aggregate_throughput,41,7545486.573,7488611.324,6878122.662,8126215.384,480526.362,MEASURED
PHASE4_IN_PROCESS,2,phase4,runtime_cpu_percent,41,29.727,29.685,29.396,30.263,0.291,MEASURED
PHASE4_IN_PROCESS,2,phase4,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,2,phase5,serial_wait_us,41,8133.029,314.981,193.255,21938.342,8546.193,MEASURED
PHASE4_IN_PROCESS,2,phase5,parent_prepare_us,41,45.601,46.495,33.367,70.299,10.134,MEASURED
PHASE4_IN_PROCESS,2,phase5,fork_wait_wall_us,41,7692.932,7275.154,4835.639,19496.400,2778.722,MEASURED
PHASE4_IN_PROCESS,2,phase5,child_profiled_total_us,41,1865.143,1460.617,1135.759,10452.804,1525.468,MEASURED
PHASE4_IN_PROCESS,2,phase5,startup_uninstrumented_residual_us,41,5827.789,5539.032,3379.723,9802.722,1811.029,MEASURED
PHASE4_IN_PROCESS,2,phase5,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,2,phase5,file_io_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,2,phase5,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,2,phase5,total_phase_us,41,7802.889,7376.944,4916.667,19598.861,2785.891,MEASURED
PHASE4_IN_PROCESS,2,phase5,pipeline_total_us,41,134367.178,133125.169,126730.786,147541.688,7081.466,MEASURED
PHASE4_IN_PROCESS,2,phase5,pipeline_service_rate_apps_sec,41,61.328,61.440,54.222,67.042,4.289,MEASURED
PHASE4_IN_PROCESS,2,phase5,aggregate_throughput,41,7545486.573,7488611.324,6878122.662,8126215.384,480526.362,MEASURED
PHASE4_IN_PROCESS,2,phase5,runtime_cpu_percent,41,29.727,29.685,29.396,30.263,0.291,MEASURED
PHASE4_IN_PROCESS,2,phase5,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,2,phase6,serial_wait_us,41,8133.029,314.981,193.255,21938.342,8546.193,MEASURED
PHASE4_IN_PROCESS,2,phase6,parent_prepare_us,41,52.495,51.587,35.970,101.201,14.014,MEASURED
PHASE4_IN_PROCESS,2,phase6,fork_wait_wall_us,41,6574.795,6078.175,4170.802,12571.687,1954.293,MEASURED
PHASE4_IN_PROCESS,2,phase6,child_profiled_total_us,41,766.579,711.463,512.443,1838.017,237.112,MEASURED
PHASE4_IN_PROCESS,2,phase6,startup_uninstrumented_residual_us,41,5808.216,5412.051,3577.097,11675.993,1858.346,MEASURED
PHASE4_IN_PROCESS,2,phase6,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,2,phase6,file_io_us,41,210.867,204.372,154.799,336.688,39.259,MEASURED
PHASE4_IN_PROCESS,2,phase6,result_parse_us,41,86.823,82.124,66.095,247.350,28.829,MEASURED
PHASE4_IN_PROCESS,2,phase6,total_phase_us,41,6681.416,6186.475,4253.695,12711.729,1958.725,MEASURED
PHASE4_IN_PROCESS,2,phase6,pipeline_total_us,41,134367.178,133125.169,126730.786,147541.688,7081.466,MEASURED
