timestamp,elapsed_ms,pid,tid,cpu,cpu_node,cpu_utilization_percent,state
2026-08-20T19:34:24,1,276219,276219,3,-1,-1.000,R
2026-08-20T19:34:24,53,276219,276219,3,-1,20.513,S
2026-08-20T19:34:24,53,276219,276220,3,-1,-1.000,R
2026-08-20T19:34:24,53,276219,276221,5,-1,-1.000,R
2026-08-20T19:34:24,104,276219,276219,3,-1,0.000,S
2026-08-20T19:34:24,104,276219,276220,3,-1,105.263,R
2026-08-20T19:34:24,104,276219,276221,5,-1,105.263,R
2026-08-20T19:34:24,156,276219,276219,3,-1,0.000,S
2026-08-20T19:34:24,156,276219,276220,3,-1,102.564,R
2026-08-20T19:34:24,156,276219,276221,5,-1,102.564,R
2026-08-20T19:34:24,207,276219,276219,3,-1,0.000,S
2026-08-20T19:34:24,207,276219,276220,2,-1,105.263,R
2026-08-20T19:34:24,207,276219,276221,5,-1,105.263,R
