variant,application_count,measurement_context,phase,component,operation_category,count,mean_us,median_us,min_us,max_us,stddev_us,status
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase5,p5_logging,persistence,30,37.464,33.619,20.662,84.754,16.690,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase5,p5_output_history_write,persistence,250,61.670,59.533,30.926,177.275,27.007,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase5,p5_state_load_or_initialize,persistence,30,330.037,307.065,183.489,680.374,117.334,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase5,p5_state_path_prepare,persistence,30,27.863,26.991,19.293,45.171,6.132,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase5,phase5_child_api_total,phase_envelope,30,1806.834,1871.318,1274.396,2382.455,323.718,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,p6_human_log_write,persistence,250,18.222,14.332,11.089,150.543,12.483,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,p6_initialize,validation,30,1.307,1.232,0.950,1.850,0.230,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,p6_input_open_parse,validation,30,42.071,36.612,33.650,85.345,10.897,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,p6_input_row_parse,validation,250,7.930,7.540,4.698,47.806,3.802,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,p6_logging_total,logging_envelope,250,97.422,79.973,51.163,1419.820,98.643,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,p6_output_history_write,persistence,250,60.497,44.474,28.362,1357.127,90.525,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,p6_shutdown,validation,30,0.511,0.518,0.251,0.812,0.149,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,p6_validate_total,validation,250,1.757,1.364,0.876,38.108,2.675,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,MEASURED,phase6,phase6_child_validate_log,phase_envelope,250,110.069,89.913,57.718,1432.764,100.463,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase5,p5_application_state_persist,persistence,79,183.218,179.279,83.982,612.990,65.901,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase5,p5_history_cleanup,persistence,79,411.993,371.567,191.379,2631.944,272.991,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase5,p5_input_open_parse,compute,79,61.605,47.554,33.266,861.319,92.291,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase5,p5_logging,persistence,79,40.242,30.899,20.362,267.571,29.854,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase5,p5_output_history_write,persistence,695,91.071,61.207,30.983,4278.659,244.364,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase5,p5_state_load_or_initialize,persistence,79,421.865,303.188,187.414,3632.648,452.442,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase5,p5_state_path_prepare,persistence,79,32.224,28.541,19.432,112.246,12.513,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase5,phase5_child_api_total,phase_envelope,79,2513.874,2153.739,1413.137,8559.560,1298.378,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,p6_human_log_write,persistence,695,32.500,18.196,11.243,4512.454,208.110,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,p6_initialize,validation,79,2.950,1.528,0.924,114.405,12.703,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,p6_input_open_parse,validation,79,51.813,49.755,34.934,113.706,13.945,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,p6_input_row_parse,validation,695,13.613,8.214,4.741,3044.634,115.543,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,p6_logging_total,logging_envelope,695,147.848,90.976,51.394,4749.830,378.582,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,p6_output_history_write,persistence,695,81.434,48.859,28.606,4273.126,240.221,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,p6_shutdown,validation,79,0.559,0.563,0.213,0.915,0.142,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,p6_validate_total,validation,695,1.962,1.619,0.869,44.947,2.406,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,MEASURED,phase6,phase6_child_validate_log,phase_envelope,695,161.642,104.125,57.588,4765.176,379.830,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase5,p5_application_state_persist,persistence,211,403.535,215.522,104.847,3761.647,727.621,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase5,p5_history_cleanup,persistence,211,581.070,432.255,185.831,5571.688,697.342,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase5,p5_input_open_parse,compute,211,103.442,53.784,33.399,5103.262,428.115,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase5,p5_logging,persistence,211,70.642,34.472,21.293,3618.882,267.860,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase5,p5_output_history_write,persistence,1379,258.515,64.214,31.217,15834.247,942.137,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase5,p5_state_load_or_initialize,persistence,211,796.749,307.126,187.480,6397.346,1180.684,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase5,p5_state_path_prepare,persistence,211,70.944,34.060,19.634,4529.366,372.730,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase5,phase5_child_api_total,phase_envelope,211,4691.028,4881.883,1290.012,17965.563,2256.026,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,p6_human_log_write,persistence,1379,70.955,20.321,11.051,10388.981,450.096,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,p6_initialize,validation,211,1.820,1.780,1.037,4.180,0.361,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,p6_input_open_parse,validation,211,117.439,56.257,34.284,5524.747,509.435,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,p6_input_row_parse,validation,1379,34.205,9.299,4.918,4755.017,280.115,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,p6_logging_total,logging_envelope,1379,317.097,97.671,52.406,10620.288,838.135,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,p6_output_history_write,persistence,1379,175.561,53.837,29.121,7027.378,598.261,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,p6_shutdown,validation,211,0.608,0.598,0.333,0.998,0.129,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,p6_validate_total,validation,1379,6.863,1.824,0.939,3039.238,115.637,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,MEASURED,phase6,phase6_child_validate_log,phase_envelope,1379,371.346,111.336,59.001,10645.107,911.852,MEASURED
