timestamp,elapsed_ms,pid,tid,cpu,cpu_node,cpu_utilization_percent,state
2026-08-17T11:41:57,4,111483,111483,6,0,-1.000,R
2026-08-17T11:41:57,106,111483,111483,5,0,0.000,S
2026-08-17T11:41:57,106,111483,111484,7,0,-1.000,R
2026-08-17T11:41:57,106,111483,111485,0,0,-1.000,R
2026-08-17T11:41:57,208,111483,111483,5,0,0.000,S
2026-08-17T11:41:57,208,111483,111484,7,0,98.765,R
2026-08-17T11:41:57,208,111483,111485,0,0,98.765,R
2026-08-17T11:41:57,311,111483,111483,5,0,0.000,S
2026-08-17T11:41:57,311,111483,111484,7,0,100.000,R
2026-08-17T11:41:57,311,111483,111485,0,0,100.000,R
