timestamp,elapsed_ms,pid,tid,cpu,cpu_node,cpu_utilization_percent,state
2026-08-20T19:34:25,1,276246,276246,2,-1,-1.000,R
2026-08-20T19:34:25,59,276246,276246,2,-1,20.000,S
2026-08-20T19:34:25,59,276246,276247,0,-1,-1.000,R
2026-08-20T19:34:25,59,276246,276248,1,-1,-1.000,R
2026-08-20T19:34:25,110,276246,276246,2,-1,0.000,S
2026-08-20T19:34:25,110,276246,276247,0,-1,19.048,R
2026-08-20T19:34:25,110,276246,276248,1,-1,95.238,R
2026-08-20T19:34:25,165,276246,276246,2,-1,0.000,S
2026-08-20T19:34:25,165,276246,276247,0,-1,0.000,R
2026-08-20T19:34:25,165,276246,276248,1,-1,120.000,R
2026-08-20T19:34:25,216,276246,276246,6,-1,0.000,R
