timestamp,elapsed_ms,pid,tid,cpu,cpu_node,cpu_utilization_percent,state
2026-08-19T06:35:35,2,4108,4108,7,0,-1.000,S
2026-08-19T06:35:35,2,4108,4116,4,0,-1.000,S
2026-08-19T06:35:35,2,4108,4117,3,0,-1.000,S
2026-08-19T06:35:35,2,4108,4118,1,0,-1.000,S
2026-08-19T06:35:35,2,4108,4125,5,0,-1.000,S
2026-08-19T06:35:35,2,4108,4128,1,0,-1.000,S
2026-08-19T06:35:35,2,4108,4129,1,0,-1.000,S
2026-08-19T06:35:35,2,4108,31055,7,0,-1.000,S
2026-08-19T06:38:53,4,4108,4108,7,0,-1.000,S
2026-08-19T06:38:53,4,4108,4116,4,0,-1.000,S
2026-08-19T06:38:53,4,4108,4117,3,0,-1.000,S
2026-08-19T06:38:53,4,4108,4118,1,0,-1.000,S
2026-08-19T06:38:53,4,4108,4125,5,0,-1.000,S
2026-08-19T06:38:53,4,4108,4128,1,0,-1.000,S
2026-08-19T06:38:53,4,4108,4129,1,0,-1.000,S
2026-08-19T06:38:53,4,4108,31055,7,0,-1.000,S
2026-08-19T06:40:03,3,4108,4108,7,0,-1.000,S
2026-08-19T06:40:03,3,4108,4116,4,0,-1.000,S
2026-08-19T06:40:03,3,4108,4117,3,0,-1.000,S
2026-08-19T06:40:03,3,4108,4118,1,0,-1.000,S
2026-08-19T06:40:03,3,4108,4125,5,0,-1.000,S
2026-08-19T06:40:03,3,4108,4128,1,0,-1.000,S
2026-08-19T06:40:03,3,4108,4129,1,0,-1.000,S
2026-08-19T06:40:03,3,4108,31055,7,0,-1.000,S
